0. 00023iyk9l	[-50.84810685  -4.35576523   0.76714593]
1. 002qnbzfs5	[-50.83326456  -9.35437944  -0.23964881]
2. 006mls2sjw	[-15.82650294  -9.19288041   0.46785328]
3. 006t3vhawl	[-46.02377105  31.66840167  -0.22541831]
4. 006z8b0uws	[-42.8438318   -5.31853608   0.69893134]
5. 00bxmflswn	[-50.80261715 -12.35699888   1.75618115]
6. 00e4nxhdvv	[-16.78652796 -14.20012863   2.46930706]
7. 00fn6wu77e	[-35.85531613  -8.28195389  -2.36355189]
8. 00fyswof3k	[ 277.25576051  -15.83898893    5.00834807]
9. 00iapy7gb3	[-49.94193385   8.65404392  -3.22330723]
10. 00j0znb0n6	[-8.84538677 -5.16036196  0.41482533]
11. 00m6r72cz5	[ 149.1743565     0.56666035    5.10118348]
12. 00nd20ya9v	[ 35.20645294 -12.95822696   2.0361581 ]
13. 00q5gbt7y3	[-20.99242795  24.78478809  -0.44388261]
14. 00ri3ux25n	[-36.9350856   10.71184431  -1.32927545]
15. 00zfq9bobc	[-47.88073051   2.6581094    0.75164057]
16. 01188d2ec6	[-48.92341589   4.65874291  -3.23712775]
17. 015wz0i7jm	[-34.85072094  -9.27729001  -2.37327406]
18. 0165xv7l4p	[-48.80270862 -12.34769452   1.73946903]
19. 01azaxsab3	[-49.8713572    0.64882844   0.76562046]
20. 01b38fp04a	[ 57.14695384  -3.85332977  -0.13530846]
21. 01c9r7ie91	[-51.03098517  29.64781872  -2.18629856]
22. 01cj73ax7u	[-48.83707742 -10.3437361   -1.2576912 ]
23. 01exzqnc72	[-20.79098594 -13.21874905   2.50409741]
24. 01ez9tkx4j	[-50.86575101  -2.35446136  -0.23008599]
25. 01hfd5lsel	[-44.85950216   1.66942309   2.72513459]
26. 01khid4m8b	[  3.91802635e+01  -1.09369871e+01   5.53778498e-03]
27. 01kv2ppj25	[-49.83422982  -7.35107794   0.75469152]
28. 01luupsq2i	[ 15.157237    -4.05004861   1.21561018]
29. 01p3ynmfs7	[-50.84998919  -9.35172489  -2.23957711]
30. 01toc3l9y5	[-49.81382707 -15.34832977  -1.25616572]
31. 01w22yhf78	[ 155.05333154    8.60775255   -4.93766548]
